ISSID,Municipality_metro,TownCity_Name,Coordinates,Start_Date,End_Date
324,Limpopo - Lephalale,Lephalale,"-23.701379,27.566265",07/23/2013 12:00:00 AM,07/24/2013 12:00:00 AM
334,Eastern Cape - Nelson Mandela Bay,Port Elizabeth,"-33.921425,25.582596",07/23/2013 12:00:00 AM,07/23/2013 12:00:00 AM
335,Eastern Cape - Buffalo City,East London,"-32.986177,27.893938",07/23/2013 12:00:00 AM,07/23/2013 12:00:00 AM
336,Western Cape - Stellenbosch,Stellenbosch,"-33.95842,18.853402",07/23/2013 12:00:00 AM,07/23/2013 12:00:00 AM
337,Western Cape - Langeberg,Bonnievale,"-33.925539,20.099707",07/23/2013 12:00:00 AM,07/23/2013 12:00:00 AM
338,Gauteng - City of Johannesburg,Kyalami,"-25.99225,28.071149",07/23/2013 12:00:00 AM,07/23/2013 12:00:00 AM
339,Gauteng - City of Tshwane,Centurion,"-25.905575,28.164899",07/23/2013 12:00:00 AM,07/23/2013 12:00:00 AM
353,Western Cape - City of Cape Town,Cape Town,"-34.03616,18.667599",07/23/2013 12:00:00 AM,07/23/2013 12:00:00 AM
321,Western Cape - City of Cape Town,Cape Town,"-33.927731,18.418592",07/24/2013 12:00:00 AM,07/24/2013 12:00:00 AM
323,Western Cape - City of Cape Town,Cape Town,"-33.960968,18.503102",07/24/2013 12:00:00 AM,07/24/2013 12:00:00 AM
359,Limpopo - Greater Letaba,Modjadjiskloof,"-23.692287,30.140052",07/24/2013 12:00:00 AM,07/25/2013 12:00:00 AM
320,Limpopo - Waterberg,Mokopane,"-24.181226,29.014423",07/25/2013 12:00:00 AM,07/25/2013 12:00:00 AM
322,Gauteng - City of Tshwane,Pretoria,"-33.960968,18.503102",07/25/2013 12:00:00 AM,07/25/2013 12:00:00 AM
352,Western Cape - City of Cape Town,Cape Town,"-33.995207,18.584865",07/25/2013 12:00:00 AM,07/25/2013 12:00:00 AM
380,Gauteng - City of Johannesburg,Johannesburg,"-26.14762,27.877771",07/25/2013 12:00:00 AM,07/28/2013 12:00:00 AM
319,Western Cape - City of Cape Town,Cape Town,"-33.817442,18.54187",07/26/2013 12:00:00 AM,07/26/2013 12:00:00 AM
